Probe Set ID	SL2_1_Exp	SL2_2_Exp	Clone8_1_Exp	Clone8_2_Exp	SL2_1_Call	SL2_2_Call	Clone8_1_Call	Clone8_2_Call
1629118_at	187.5	221.4	183.6	162.9	P	P	P	P
1637105_at	53.5	90.3	113.2	74.1	A	P	A	P
1632312_at	8.2	7.7	12.7	9.5	A	A	A	A
1628337_at	26.7	9.7	105.7	2.9	A	A	A	A
1628426_s_at	26.7	10	12	5.1	A	A	A	A
1641233_a_at	929	618.5	582.5	412.9	P	P	P	P
1637671_a_at	5042.2	3381	6189.1	4907.3	P	P	P	P
1623018_at	1.5	0.8	2.3	11.4	A	A	A	A
1634623_a_at	595.4	408.7	217.1	57.5	P	P	P	P
1637483_at	50.8	33.2	23	6.4	A	A	A	A
1624821_at	41	35.2	26.5	52.4	A	A	A	A
1633953_at	92.2	18.6	48.3	11.6	A	A	A	A
1622927_at	14.3	22.7	40.6	25	A	A	A	A
1640986_at	50.5	37.1	40	16.8	M	A	A	A
1639198_at	1977.5	1911.9	1989.4	2366.9	P	P	P	P
1622944_at	935.9	1047.6	810.5	787.8	P	P	P	P
1638181_at	71.2	57.8	64.7	20.9	A	P	A	A
1633421_at	66.3	41.9	27.3	22.5	A	A	A	A
1627139_at	353.7	192.6	583.9	483.2	P	P	P	P
1625521_at	54.3	42.4	35.5	9.1	A	P	A	A
1640532_at	52	26	45.5	14.6	A	A	A	A
1636731_at	85	82.3	107.6	69.2	A	A	A	A
1637753_at	27.5	28.6	15.2	6.5	A	A	A	A
1627844_at	542.8	794.9	668.7	402.9	P	P	P	P
1630238_at	10.9	2.7	24.3	9.3	A	A	A	A
1634353_at	26.2	46.7	19.9	7.9	A	A	A	A
1627464_at	59	40.1	31.8	6.2	A	A	A	A
1640856_at	10	8.8	14.4	7.6	A	A	M	A
1629128_at	69.1	14.6	47.1	4	A	A	A	A
1626097_at	18.4	12.9	14.2	4.5	A	A	A	A
1623891_at	856.9	873.9	1055.4	1426.2	P	P	P	P
1631806_at	92	33	61	7.4	A	A	P	A
1631222_at	1.3	1.1	0.6	0.8	A	A	A	A
1639539_at	11.3	1.9	11.4	6.6	A	A	A	A
1624914_at	3.9	4.7	6.4	3.8	A	A	A	A
1633877_at	13.1	18.5	16.7	8.8	A	M	A	M
1629903_at	7.5	5.6	4723.9	4192.4	A	A	P	P
1637567_at	9.6	33.9	8.7	25.3	A	A	A	A
